Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371944011","15000US060371944011","Block Group 1","Block Group 1, Census Tract 1944.01, Los Angeles County, California","ca","150","00","ACSSF","0015407",,,,,"06","037",,,,"194401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117916.689466484
"060371944012","15000US060371944012","Block Group 2","Block Group 2, Census Tract 1944.01, Los Angeles County, California","ca","150","00","ACSSF","0015408",,,,,"06","037",,,,"194401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164166.998011928
"060371944021","15000US060371944021","Block Group 1","Block Group 1, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015409",,,,,"06","037",,,,"194402","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109564.069264069
"060371944022","15000US060371944022","Block Group 2","Block Group 2, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015410",,,,,"06","037",,,,"194402","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126234.750733138
"060371944023","15000US060371944023","Block Group 3","Block Group 3, Census Tract 1944.02, Los Angeles County, California","ca","150","00","ACSSF","0015411",,,,,"06","037",,,,"194402","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148611.944869832
"060371945001","15000US060371945001","Block Group 1","Block Group 1, Census Tract 1945, Los Angeles County, California","ca","150","00","ACSSF","0015412",,,,,"06","037",,,,"194500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184429.979466119
"060371945002","15000US060371945002","Block Group 2","Block Group 2, Census Tract 1945, Los Angeles County, California","ca","150","00","ACSSF","0015413",,,,,"06","037",,,,"194500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220050.10940919
"060371951001","15000US060371951001","Block Group 1","Block Group 1, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015414",,,,,"06","037",,,,"195100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134819.486404834
"060371951002","15000US060371951002","Block Group 2","Block Group 2, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015415",,,,,"06","037",,,,"195100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134679.881656805
"060371951003","15000US060371951003","Block Group 3","Block Group 3, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015416",,,,,"06","037",,,,"195100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166590.822179732
